toplevel,item,article,block
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e125
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e128
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e131
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e135
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e144
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e147
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e150
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e153
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e162
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e165
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e168
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e171
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e175
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e178
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e188
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e191
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e194
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e197
aquinasscriptum,ta-l3d15q2,ta-l3d15q2-Dd1e109,ta-l3d15q2-d1e206
